run,b,ic,t,x,sigma
1,0.2,0.0511938268203712,0,0.0511938268203712,0.01
1,0.2,0.0511938268203712,0.01,0.0504831870471612,0.01
1,0.2,0.0511938268203712,0.02,0.0515107878158902,0.01
1,0.2,0.0511938268203712,0.03,0.0506315551733812,0.01
1,0.2,0.0511938268203712,0.04,0.0493990308010968,0.01
1,0.2,0.0511938268203712,0.05,0.048310815188599,0.01
1,0.2,0.0511938268203712,0.06,0.0473830630069804,0.01
1,0.2,0.0511938268203712,0.07,0.0463731216360769,0.01
1,0.2,0.0511938268203712,0.08,0.0460114751946455,0.01
1,0.2,0.0511938268203712,0.09,0.0452162687320077,0.01
1,0.2,0.0511938268203712,0.1,0.045153782590191,0.01
1,0.2,0.0511938268203712,0.11,0.0436183007701113,0.01
1,0.2,0.0511938268203712,0.12,0.0436636353812905,0.01
1,0.2,0.0511938268203712,0.13,0.041342123956136,0.01
1,0.2,0.0511938268203712,0.14,0.0413139082043357,0.01
1,0.2,0.0511938268203712,0.15,0.0400826247378883,0.01
1,0.2,0.0511938268203712,0.16,0.0392214305856417,0.01
1,0.2,0.0511938268203712,0.17,0.0361531075602206,0.01
1,0.2,0.0511938268203712,0.18,0.0336610698124903,0.01
1,0.2,0.0511938268203712,0.19,0.0334681938564028,0.01
1,0.2,0.0511938268203712,0.2,0.0340818049326649,0.01
1,0.2,0.0511938268203712,0.21,0.0324029918362086,0.01
1,0.2,0.0511938268203712,0.22,0.0315780763527605,0.01
1,0.2,0.0511938268203712,0.23,0.0318830602230358,0.01
1,0.2,0.0511938268203712,0.24,0.0321776230399108,0.01
1,0.2,0.0511938268203712,0.25,0.028842800335415,0.01
1,0.2,0.0511938268203712,0.26,0.0262751508162333,0.01
1,0.2,0.0511938268203712,0.27,0.0242781382034795,0.01
1,0.2,0.0511938268203712,0.28,0.0240850106721801,0.01
1,0.2,0.0511938268203712,0.29,0.0211183472165788,0.01
1,0.2,0.0511938268203712,0.3,0.0192438204678368,0.01
1,0.2,0.0511938268203712,0.31,0.0189672026758143,0.01
1,0.2,0.0511938268203712,0.32,0.0175075384422838,0.01
1,0.2,0.0511938268203712,0.33,0.0164606726729063,0.01
1,0.2,0.0511938268203712,0.34,0.0146842178645687,0.01
1,0.2,0.0511938268203712,0.35,0.0140797660529251,0.01
1,0.2,0.0511938268203712,0.36,0.0136696496200941,0.01
1,0.2,0.0511938268203712,0.37,0.0118632832609653,0.01
1,0.2,0.0511938268203712,0.38,0.0124179430914059,0.01
1,0.2,0.0511938268203712,0.39,0.0117943430292984,0.01
1,0.2,0.0511938268203712,0.4,0.00994675571513896,0.01
1,0.2,0.0511938268203712,0.41,0.00943503701944529,0.01
1,0.2,0.0511938268203712,0.42,0.00786478804111969,0.01
1,0.2,0.0511938268203712,0.43,0.00676409603663697,0.01
1,0.2,0.0511938268203712,0.44,0.00654909900120653,0.01
1,0.2,0.0511938268203712,0.45,0.00472981291778768,0.01
1,0.2,0.0511938268203712,0.46,0.00372339267648715,0.01
1,0.2,0.0511938268203712,0.47,0.00204025239695418,0.01
1,0.2,0.0511938268203712,0.48,0.00100169051972497,0.01
1,0.2,0.0511938268203712,0.49,0.00174211189171007,0.01
1,0.2,0.0511938268203712,0.5,7.20422603702952e-05,0.01
1,0.2,0.0511938268203712,0.51,-0.000593854514019877,0.01
1,0.2,0.0511938268203712,0.52,-0.000569850094199162,0.01
1,0.2,0.0511938268203712,0.53,-0.00196471367840217,0.01
1,0.2,0.0511938268203712,0.54,-0.00150724278184263,0.01
1,0.2,0.0511938268203712,0.55,-0.00327346499102019,0.01
1,0.2,0.0511938268203712,0.56,-0.00270419906590941,0.01
1,0.2,0.0511938268203712,0.57,-0.0018287513761739,0.01
1,0.2,0.0511938268203712,0.58,-0.00278380284497883,0.01
1,0.2,0.0511938268203712,0.59,-0.0029205266879491,0.01
1,0.2,0.0511938268203712,0.6,-0.00189675367699188,0.01
1,0.2,0.0511938268203712,0.61,-0.00183093663199244,0.01
1,0.2,0.0511938268203712,0.62,-0.00342420837810747,0.01
1,0.2,0.0511938268203712,0.63,-0.00297327979284829,0.01
1,0.2,0.0511938268203712,0.64,-0.00220942641385406,0.01
1,0.2,0.0511938268203712,0.65,-0.00177693611333623,0.01
1,0.2,0.0511938268203712,0.66,-0.0010604150295213,0.01
1,0.2,0.0511938268203712,0.67,-0.000443371698821141,0.01
1,0.2,0.0511938268203712,0.68,0.000953164052751084,0.01
1,0.2,0.0511938268203712,0.69,-0.000146442052308587,0.01
1,0.2,0.0511938268203712,0.7,-0.00198189330741068,0.01
1,0.2,0.0511938268203712,0.71,-0.000984647182915766,0.01
1,0.2,0.0511938268203712,0.72,-0.00110367385111424,0.01
1,0.2,0.0511938268203712,0.73,-0.00217521699571664,0.01
1,0.2,0.0511938268203712,0.74,-0.000810952185112647,0.01
1,0.2,0.0511938268203712,0.75,-0.00111343261214385,0.01
1,0.2,0.0511938268203712,0.76,-8.27698949588913e-05,0.01
1,0.2,0.0511938268203712,0.77,0.000372914569614443,0.01
1,0.2,0.0511938268203712,0.78,0.00179378900493067,0.01
1,0.2,0.0511938268203712,0.79,0.00208311566889879,0.01
1,0.2,0.0511938268203712,0.8,0.00246288044692253,0.01
1,0.2,0.0511938268203712,0.81,0.00153970990735594,0.01
1,0.2,0.0511938268203712,0.82,0.000686838196635424,0.01
1,0.2,0.0511938268203712,0.83,0.00216231886985914,0.01
1,0.2,0.0511938268203712,0.84,0.00161164741540573,0.01
1,0.2,0.0511938268203712,0.85,0.00152518441538635,0.01
1,0.2,0.0511938268203712,0.86,-0.000315413216657766,0.01
1,0.2,0.0511938268203712,0.87,0.00020324616059008,0.01
1,0.2,0.0511938268203712,0.88,8.61001065680858e-05,0.01
1,0.2,0.0511938268203712,0.89,0.000494319286746096,0.01
1,0.2,0.0511938268203712,0.9,0.000208483646960065,0.01
1,0.2,0.0511938268203712,0.91,-0.000925933195280321,0.01
1,0.2,0.0511938268203712,0.92,0.000821149497922047,0.01
1,0.2,0.0511938268203712,0.93,0.000993154523334866,0.01
1,0.2,0.0511938268203712,0.94,-0.00121206084450385,0.01
1,0.2,0.0511938268203712,0.95,-0.000956366970864902,0.01
1,0.2,0.0511938268203712,0.96,-0.00137854223019994,0.01
1,0.2,0.0511938268203712,0.97,-0.00119336944120609,0.01
1,0.2,0.0511938268203712,0.98,0.000487267157249283,0.01
1,0.2,0.0511938268203712,0.99,9.38606689411991e-05,0.01
1,0.2,0.0511938268203712,1,0.00173763637748053,0.01
1,0.2,0.0511938268203712,1.01,0.0019688301424247,0.01
1,0.2,0.0511938268203712,1.02,0.000615344038156383,0.01
1,0.2,0.0511938268203712,1.03,0.00238904615126863,0.01
1,0.2,0.0511938268203712,1.04,0.00280141271549839,0.01
1,0.2,0.0511938268203712,1.05,0.00310884960141682,0.01
1,0.2,0.0511938268203712,1.06,0.00126369010354742,0.01
1,0.2,0.0511938268203712,1.07,0.00184803450308934,0.01
1,0.2,0.0511938268203712,1.08,0.00222450314996474,0.01
1,0.2,0.0511938268203712,1.09,0.00102807373423738,0.01
1,0.2,0.0511938268203712,1.1,0.00162010495529775,0.01
1,0.2,0.0511938268203712,1.11,0.00195857690637881,0.01
1,0.2,0.0511938268203712,1.12,0.00220915478617851,0.01
1,0.2,0.0511938268203712,1.13,0.00259619067815585,0.01
1,0.2,0.0511938268203712,1.14,0.00156768648521857,0.01
1,0.2,0.0511938268203712,1.15,-4.12280974693797e-06,0.01
1,0.2,0.0511938268203712,1.16,-0.000829637178833159,0.01
1,0.2,0.0511938268203712,1.17,-0.00222434087782082,0.01
1,0.2,0.0511938268203712,1.18,-0.00237690092325659,0.01
1,0.2,0.0511938268203712,1.19,-0.00119015306753987,0.01
1,0.2,0.0511938268203712,1.2,-0.00086274089161741,0.01
1,0.2,0.0511938268203712,1.21,-0.000410925595549166,0.01
1,0.2,0.0511938268203712,1.22,0.000463981922283484,0.01
1,0.2,0.0511938268203712,1.23,-0.000351686690345729,0.01
1,0.2,0.0511938268203712,1.24,-0.000679316186809721,0.01
1,0.2,0.0511938268203712,1.25,-0.000313970124999619,0.01
1,0.2,0.0511938268203712,1.26,0.00106138266869463,0.01
