exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.8,1,0.0,0.35,2.0,2.0334353646759467,0.35,3.0,5.0,0.25
1,S1,0.8,1,1.0,0.35,1.9992468889786188,1.9858518086086836,0.35,3.0,5.0,0.25
1,S1,0.8,1,2.0,0.35,1.9989919448423914,1.9819877489391562,0.35,3.0,5.0,0.25
1,S1,0.8,1,3.0,0.25,1.9815731345887542,1.987989214329147,0.35,3.0,5.0,0.25
1,S1,0.8,1,4.0,0.25,1.3192421442984614,1.292696953574716,0.35,3.0,5.0,0.25
1,S1,0.8,1,5.0,0.25,1.0991244617701474,1.0871401492507702,0.35,3.0,5.0,0.25
1,S1,0.8,1,6.0,0.35,1.5721747022913952,1.5883155871386523,0.35,3.0,5.0,0.25
1,S1,0.8,1,7.0,0.35,1.7631735077400195,1.78629531785148,0.35,3.0,5.0,0.25
1,S1,0.8,1,8.0,0.35,1.857188558606453,1.895694818721952,0.35,3.0,5.0,0.25
1,S1,0.8,1,9.0,0.35,1.9075615706841336,1.892894644102738,0.35,3.0,5.0,0.25
1,S1,0.8,1,10.0,0.35,1.93654961262888,1.906407460812335,0.35,3.0,5.0,0.25
1,S1,0.8,1,11.0,0.35,1.9542670258743196,1.9650945373513369,0.35,3.0,5.0,0.25
1,S1,0.8,1,12.0,0.35,1.9656624296219254,1.9799470594545994,0.35,3.0,5.0,0.25
1,S1,0.8,1,13.0,0.35,1.973317196610836,1.9786355041989085,0.35,3.0,5.0,0.25
1,S1,0.8,1,14.0,0.35,1.978654447697814,2.0201791153065964,0.35,3.0,5.0,0.25
1,S1,0.8,1,15.0,0.35,1.9824973277142306,1.9535051001778196,0.35,3.0,5.0,0.25
1,S1,0.8,2,0.0,0.35,2.0,1.9959956306823754,0.35,3.0,5.0,0.25
1,S1,0.8,2,1.0,0.35,1.9992468889786188,1.9983636805094467,0.35,3.0,5.0,0.25
1,S1,0.8,2,2.0,0.35,1.9989919448423914,1.977997929542896,0.35,3.0,5.0,0.25
1,S1,0.8,2,3.0,0.25,1.9815731345887542,2.0100713493318345,0.35,3.0,5.0,0.25
1,S1,0.8,2,4.0,0.25,1.3192421442984614,1.3046241769269995,0.35,3.0,5.0,0.25
1,S1,0.8,2,5.0,0.25,1.0991244617701474,1.077209006641678,0.35,3.0,5.0,0.25
1,S1,0.8,2,6.0,0.35,1.5721747022913952,1.5648966078789948,0.35,3.0,5.0,0.25
1,S1,0.8,2,7.0,0.35,1.7631735077400195,1.7786397478934919,0.35,3.0,5.0,0.25
1,S1,0.8,2,8.0,0.35,1.857188558606453,1.9032312740832011,0.35,3.0,5.0,0.25
1,S1,0.8,2,9.0,0.35,1.9075615706841336,1.8979463323463206,0.35,3.0,5.0,0.25
1,S1,0.8,2,10.0,0.35,1.93654961262888,1.8910902943159715,0.35,3.0,5.0,0.25
1,S1,0.8,2,11.0,0.35,1.9542670258743196,1.957975601756468,0.35,3.0,5.0,0.25
1,S1,0.8,2,12.0,0.35,1.9656624296219254,1.936151982911234,0.35,3.0,5.0,0.25
1,S1,0.8,2,13.0,0.35,1.973317196610836,1.9962870280403626,0.35,3.0,5.0,0.25
1,S1,0.8,2,14.0,0.35,1.978654447697814,2.0101199939193743,0.35,3.0,5.0,0.25
1,S1,0.8,2,15.0,0.35,1.9824973277142306,2.014071843854538,0.35,3.0,5.0,0.25
1,S1,0.8,3,0.0,0.35,2.0,2.0114484269328834,0.35,3.0,5.0,0.25
1,S1,0.8,3,1.0,0.35,1.9992468889786188,2.0171727201956022,0.35,3.0,5.0,0.25
1,S1,0.8,3,2.0,0.35,1.9989919448423914,1.9860728350688572,0.35,3.0,5.0,0.25
1,S1,0.8,3,3.0,0.25,1.9815731345887542,2.03529863628926,0.35,3.0,5.0,0.25
1,S1,0.8,3,4.0,0.25,1.3192421442984614,1.2865951900500336,0.35,3.0,5.0,0.25
1,S1,0.8,3,5.0,0.25,1.0991244617701474,1.1453458428896666,0.35,3.0,5.0,0.25
1,S1,0.8,3,6.0,0.35,1.5721747022913952,1.5203898045072932,0.35,3.0,5.0,0.25
1,S1,0.8,3,7.0,0.35,1.7631735077400195,1.7725836043715835,0.35,3.0,5.0,0.25
1,S1,0.8,3,8.0,0.35,1.857188558606453,1.8780513871389863,0.35,3.0,5.0,0.25
1,S1,0.8,3,9.0,0.35,1.9075615706841336,1.874862091311839,0.35,3.0,5.0,0.25
1,S1,0.8,3,10.0,0.35,1.93654961262888,1.9822574214963131,0.35,3.0,5.0,0.25
1,S1,0.8,3,11.0,0.35,1.9542670258743196,1.9597567898717485,0.35,3.0,5.0,0.25
1,S1,0.8,3,12.0,0.35,1.9656624296219254,1.9633303729701028,0.35,3.0,5.0,0.25
1,S1,0.8,3,13.0,0.35,1.973317196610836,1.9421524475635896,0.35,3.0,5.0,0.25
1,S1,0.8,3,14.0,0.35,1.978654447697814,1.95924889241069,0.35,3.0,5.0,0.25
1,S1,0.8,3,15.0,0.35,1.9824973277142306,1.9735256596872122,0.35,3.0,5.0,0.25
2,S1,0.85,1,0.0,0.35,2.0,2.0130738350258643,0.35,3.0,5.0,0.25
2,S1,0.85,1,1.0,0.35,1.9992428100675073,2.0567582180124884,0.35,3.0,5.0,0.25
2,S1,0.85,1,2.0,0.35,1.9989637861610372,2.0289650696664387,0.35,3.0,5.0,0.25
2,S1,0.85,1,3.0,0.25,1.9856021098285255,1.9445219177981863,0.35,3.0,5.0,0.25
2,S1,0.85,1,4.0,0.25,1.3124203596218649,1.3155332744028294,0.35,3.0,5.0,0.25
2,S1,0.85,1,5.0,0.25,1.0701235487428502,1.023034719312023,0.35,3.0,5.0,0.25
2,S1,0.85,1,6.0,0.35,1.5192239673258283,1.5578107596904045,0.35,3.0,5.0,0.25
2,S1,0.85,1,7.0,0.35,1.7355660658632324,1.7562704380279783,0.35,3.0,5.0,0.25
2,S1,0.85,1,8.0,0.35,1.8463240928207825,1.831665312337882,0.35,3.0,5.0,0.25
2,S1,0.85,1,9.0,0.35,1.9051953826152823,1.9528570593141594,0.35,3.0,5.0,0.25
2,S1,0.85,1,10.0,0.35,1.938079091136855,1.9836652477669992,0.35,3.0,5.0,0.25
2,S1,0.85,1,11.0,0.35,1.9573949480432462,1.9150332095328284,0.35,3.0,5.0,0.25
