exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.7,1,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,1,1.0,0.35,1.9992576234778643,1.9950206122959993,0.35,3.0,5.0,0.2
1,S1,0.7,1,2.0,0.35,1.9990462441818124,2.003448345967748,0.35,3.0,5.0,0.2
1,S1,0.7,1,3.0,0.2,1.9449703154100673,1.9247384412798014,0.35,3.0,5.0,0.2
1,S1,0.7,1,4.0,0.2,0.9231180080355952,0.9268461349947487,0.35,3.0,5.0,0.2
1,S1,0.7,1,5.0,0.2,0.6186233410609887,0.6344242837615186,0.35,3.0,5.0,0.2
1,S1,0.7,1,6.0,0.35,1.3083540996514522,1.3140735427897394,0.35,3.0,5.0,0.2
1,S1,0.7,1,7.0,0.35,1.6058594317932429,1.6129766511397403,0.35,3.0,5.0,0.2
1,S1,0.7,1,8.0,0.35,1.7514871281482294,1.7434870494238133,0.35,3.0,5.0,0.2
1,S1,0.7,1,9.0,0.35,1.8305147798041146,1.8209971498106539,0.35,3.0,5.0,0.2
1,S1,0.7,1,10.0,0.35,1.8774290504326,1.8902587736491487,0.35,3.0,5.0,0.2
1,S1,0.7,1,11.0,0.35,1.90730300193543,1.8925416848424321,0.35,3.0,5.0,0.2
1,S1,0.7,1,12.0,0.35,1.9274001416421445,1.9220395098496263,0.35,3.0,5.0,0.2
1,S1,0.7,1,13.0,0.35,1.9415255289631626,1.9464195455597968,0.35,3.0,5.0,0.2
1,S1,0.7,1,14.0,0.35,1.9518135455195593,1.9576761497580604,0.35,3.0,5.0,0.2
1,S1,0.7,1,15.0,0.35,1.9595305867333521,1.966896764942824,0.35,3.0,5.0,0.2
1,S1,0.7,1,16.0,0.35,1.9654639524475739,1.9851435905711545,0.35,3.0,5.0,0.2
1,S1,0.7,1,17.0,0.35,1.9701227286240504,1.9869460520353894,0.35,3.0,5.0,0.2
