exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.94,1,0.0,0.35,2.0,2.0557256077932444,0.35,3.0,5.0,0.2
1,S1,0.94,1,1.0,0.35,1.9992380905940355,1.9769129566441435,0.35,3.0,5.0,0.2
1,S1,0.94,1,2.0,0.35,1.9989112853170192,1.9705709588116274,0.35,3.0,5.0,0.2
1,S1,0.94,1,3.0,0.2,1.9836858163879443,1.9943792826219324,0.35,3.0,5.0,0.2
1,S1,0.94,1,4.0,0.2,0.8568230418495653,0.8125810573099894,0.35,3.0,5.0,0.2
1,S1,0.94,1,5.0,0.2,0.37600425185979774,0.3560303976608358,0.35,3.0,5.0,0.2
1,S1,0.94,1,6.0,0.35,0.4245388622289032,0.4514403369743317,0.35,3.0,5.0,0.2
1,S1,0.94,1,7.0,0.35,0.4615019703257026,0.5000383205114701,0.35,3.0,5.0,0.2
1,S1,0.94,1,8.0,0.35,0.516147268871084,0.5803243690635825,0.35,3.0,5.0,0.2
1,S1,0.94,1,9.0,0.35,0.6166006681182545,0.5921557904825954,0.35,3.0,5.0,0.2
1,S1,0.94,1,10.0,0.35,0.8098307591509922,0.7595938394567504,0.35,3.0,5.0,0.2
1,S1,0.94,1,11.0,0.35,1.1176469216385243,1.1356927741002198,0.35,3.0,5.0,0.2
1,S1,0.94,1,12.0,0.35,1.4407680199922113,1.4645757363800012,0.35,3.0,5.0,0.2
1,S1,0.94,1,13.0,0.35,1.673783816300449,1.68264766228057,0.35,3.0,5.0,0.2
1,S1,0.94,1,14.0,0.35,1.812523679455926,1.8817314588038965,0.35,3.0,5.0,0.2
1,S1,0.94,1,15.0,0.35,1.8897272819041195,1.8414069026767679,0.35,3.0,5.0,0.2
1,S1,0.94,1,16.0,0.35,1.932276671223994,1.9256027223612862,0.35,3.0,5.0,0.2
1,S1,0.94,1,17.0,0.35,1.9561361897192253,1.9546641756039385,0.35,3.0,5.0,0.2
1,S1,0.94,1,18.0,0.35,1.9699377221050416,1.9349476966058825,0.35,3.0,5.0,0.2
1,S1,0.94,1,19.0,0.35,1.97823646290677,2.02573348747857,0.35,3.0,5.0,0.2
1,S1,0.94,1,20.0,0.35,1.983444409605883,1.9590811306534464,0.35,3.0,5.0,0.2
1,S1,0.94,2,0.0,0.35,2.0,1.9634742414525508,0.35,3.0,5.0,0.2
1,S1,0.94,2,1.0,0.35,1.9992380905940355,1.9871079332400348,0.35,3.0,5.0,0.2
1,S1,0.94,2,2.0,0.35,1.9989112853170192,2.0246883522394734,0.35,3.0,5.0,0.2
1,S1,0.94,2,3.0,0.2,1.9836858163879443,2.060423675515858,0.35,3.0,5.0,0.2
1,S1,0.94,2,4.0,0.2,0.8568230418495653,0.8407976446198769,0.35,3.0,5.0,0.2
1,S1,0.94,2,5.0,0.2,0.37600425185979774,0.3002387213382838,0.35,3.0,5.0,0.2
1,S1,0.94,2,6.0,0.35,0.4245388622289032,0.43071982203248393,0.35,3.0,5.0,0.2
1,S1,0.94,2,7.0,0.35,0.4615019703257026,0.41231789247455025,0.35,3.0,5.0,0.2
1,S1,0.94,2,8.0,0.35,0.516147268871084,0.5544303212536281,0.35,3.0,5.0,0.2
1,S1,0.94,2,9.0,0.35,0.6166006681182545,0.6690432451541884,0.35,3.0,5.0,0.2
1,S1,0.94,2,10.0,0.35,0.8098307591509922,0.8624549527181714,0.35,3.0,5.0,0.2
1,S1,0.94,2,11.0,0.35,1.1176469216385243,1.13672763319333,0.35,3.0,5.0,0.2
1,S1,0.94,2,12.0,0.35,1.4407680199922113,1.47064440535385,0.35,3.0,5.0,0.2
1,S1,0.94,2,13.0,0.35,1.673783816300449,1.652251966677892,0.35,3.0,5.0,0.2
1,S1,0.94,2,14.0,0.35,1.812523679455926,1.9020661822901024,0.35,3.0,5.0,0.2
1,S1,0.94,2,15.0,0.35,1.8897272819041195,1.8353156914900732,0.35,3.0,5.0,0.2
1,S1,0.94,2,16.0,0.35,1.932276671223994,2.0093123064231926,0.35,3.0,5.0,0.2
1,S1,0.94,2,17.0,0.35,1.9561361897192253,1.8698280267457217,0.35,3.0,5.0,0.2
1,S1,0.94,2,18.0,0.35,1.9699377221050416,1.9856212164909814,0.35,3.0,5.0,0.2
1,S1,0.94,2,19.0,0.35,1.97823646290677,2.0130078437943255,0.35,3.0,5.0,0.2
1,S1,0.94,2,20.0,0.35,1.983444409605883,1.9289452773187254,0.35,3.0,5.0,0.2
1,S1,0.94,3,0.0,0.35,2.0,2.076179681445722,0.35,3.0,5.0,0.2
1,S1,0.94,3,1.0,0.35,1.9992380905940355,2.008387697256417,0.35,3.0,5.0,0.2
1,S1,0.94,3,2.0,0.35,1.9989112853170192,1.9950245242306481,0.35,3.0,5.0,0.2
1,S1,0.94,3,3.0,0.2,1.9836858163879443,1.9317445679758671,0.35,3.0,5.0,0.2
1,S1,0.94,3,4.0,0.2,0.8568230418495653,0.8244804497043583,0.35,3.0,5.0,0.2
1,S1,0.94,3,5.0,0.2,0.37600425185979774,0.36105147181476693,0.35,3.0,5.0,0.2
1,S1,0.94,3,6.0,0.35,0.4245388622289032,0.3951432195561625,0.35,3.0,5.0,0.2
1,S1,0.94,3,7.0,0.35,0.4615019703257026,0.42163286732052335,0.35,3.0,5.0,0.2
1,S1,0.94,3,8.0,0.35,0.516147268871084,0.565531609832343,0.35,3.0,5.0,0.2
1,S1,0.94,3,9.0,0.35,0.6166006681182545,0.7289895364562012,0.35,3.0,5.0,0.2
1,S1,0.94,3,10.0,0.35,0.8098307591509922,0.8640771051097591,0.35,3.0,5.0,0.2
1,S1,0.94,3,11.0,0.35,1.1176469216385243,1.1123375023113875,0.35,3.0,5.0,0.2
1,S1,0.94,3,12.0,0.35,1.4407680199922113,1.5066411785759282,0.35,3.0,5.0,0.2
1,S1,0.94,3,13.0,0.35,1.673783816300449,1.7574269517995151,0.35,3.0,5.0,0.2
1,S1,0.94,3,14.0,0.35,1.812523679455926,1.8126990355631938,0.35,3.0,5.0,0.2
1,S1,0.94,3,15.0,0.35,1.8897272819041195,1.9262969861971213,0.35,3.0,5.0,0.2
1,S1,0.94,3,16.0,0.35,1.932276671223994,1.8677475448434733,0.35,3.0,5.0,0.2
1,S1,0.94,3,17.0,0.35,1.9561361897192253,1.9228634045579789,0.35,3.0,5.0,0.2
1,S1,0.94,3,18.0,0.35,1.9699377221050416,2.01485911878218,0.35,3.0,5.0,0.2
1,S1,0.94,3,19.0,0.35,1.97823646290677,2.0598973559089466,0.35,3.0,5.0,0.2
1,S1,0.94,3,20.0,0.35,1.983444409605883,1.894026652182996,0.35,3.0,5.0,0.2
2,S1,0.95,1,0.0,0.35,2.0,2.021789725043107,0.35,3.0,5.0,0.2
2,S1,0.95,1,1.0,0.35,1.9992377967399126,2.0950968099815475,0.35,3.0,5.0,0.2
2,S1,0.95,1,2.0,0.35,1.9989053048762113,2.048907444051881,0.35,3.0,5.0,0.2
2,S1,0.95,1,3.0,0.2,1.9844752686242622,1.9160082819070303,0.35,3.0,5.0,0.2
2,S1,0.95,1,4.0,0.2,0.8543773426346308,0.8595655339362385,0.35,3.0,5.0,0.2
2,S1,0.95,1,5.0,0.2,0.3653471180990584,0.2868657357143465,0.35,3.0,5.0,0.2
2,S1,0.95,1,6.0,0.35,0.38837026792304485,0.4526815885306718,0.35,3.0,5.0,0.2
2,S1,0.95,1,7.0,0.35,0.3883726631895624,0.42287995013080565,0.35,3.0,5.0,0.2
2,S1,0.95,1,8.0,0.35,0.3764843715210114,0.3520530707161773,0.35,3.0,5.0,0.2
2,S1,0.95,1,9.0,0.35,0.3510083996451169,0.4304445274765788,0.35,3.0,5.0,0.2
2,S1,0.95,1,10.0,0.35,0.30876071653970794,0.38473764425661483,0.35,3.0,5.0,0.2
2,S1,0.95,1,11.0,0.35,0.2504596134686683,0.17985671595130537,0.35,3.0,5.0,0.2
2,S1,0.95,1,12.0,0.35,0.1865815579467933,0.23453749533643098,0.35,3.0,5.0,0.2
2,S1,0.95,1,13.0,0.35,0.13330604008002553,0.17860355012589335,0.35,3.0,5.0,0.2
2,S1,0.95,1,14.0,0.35,0.09845819980257395,0.056635804179201804,0.35,3.0,5.0,0.2
2,S1,0.95,1,15.0,0.35,0.07886372185442644,0.11294762257518319,0.35,3.0,5.0,0.2
